Unnamed: 0,Company,TypeName,Inches,ScreenResolution,Cpu,Ram,Memory,Gpu,OpSys,Weight,Price
39,Acer,Workstation,15.6,1920x1080,AMD Ryzen 5 7530U 2.0GHz,64GB,256GB SSD,NVIDIA RTX 4060,Windows 10,1.79kg,39989.99
40,Razer,2 in 1 Convertible,17.3,1920x1200,AMD Ryzen 7 7840HS 3.8GHz,32GB,2TB SSD,Integrated AMD Radeon,Windows 10,1.63kg,240739.44
41,Razer,2 in 1 Convertible,13.3,OLED 2880x1800,Intel Core i5 1240P 3.3GHz,64GB,2TB SSD,NVIDIA RTX 4070,Windows 10,2.02kg,245593.35
42,Samsung,Ultrabook,14.0,IPS Panel 1920x1080,Intel Core i5 1240P 3.3GHz,64GB,1TB SSD,Integrated AMD Radeon,Linux,1.41kg,182798.36
43,Acer,2 in 1 Convertible,16.0,1920x1200,Apple M3 Pro,32GB,512GB SSD,Intel Iris Xe,Linux,1.25kg,210082.05
44,Asus,Ultrabook,14.0,1920x1080,AMD Ryzen 5 7530U 2.0GHz,32GB,1TB SSD,NVIDIA RTX 4060,macOS,1.48kg,243334.54
45,Razer,Ultrabook,14.0,Retina 2560x1600,Intel Core i5 1240P 3.3GHz,64GB,512GB SSD,Apple M3 GPU,Windows 11,2.26kg,96415.27
46,Asus,Notebook,14.0,2560x1600,Apple M3 Pro,64GB,1TB SSD,Intel Iris Xe,Windows 10,1.4kg,82873.62
47,Razer,Netbook,17.3,OLED 2880x1800,Intel Core i9 13900H 5.4GHz,8GB,256GB SSD,Intel Iris Xe,No OS,1.15kg,241197.14
48,Dell,Notebook,13.3,IPS Panel 1920x1080,Apple M2,32GB,256GB SSD,NVIDIA RTX 4050,Linux,2.13kg,142265.27
49,Samsung,Netbook,15.6,1920x1080,AMD Ryzen 5 7530U 2.0GHz,32GB,512GB SSD,NVIDIA RTX 4070,No OS,1.56kg,152257.81
50,MSI,Workstation,15.6,1920x1080,Apple M2,8GB,1TB SSD,NVIDIA RTX 4060,No OS,1.54kg,177280.68
51,Samsung,Ultrabook,17.3,1920x1080,Intel Core i5 1240P 3.3GHz,8GB,512GB SSD,AMD Radeon 780M,Windows 11,2.23kg,237361.0
52,MSI,Netbook,15.6,2880x1800,AMD Ryzen 7 7840HS 3.8GHz,32GB,2TB SSD,NVIDIA RTX 4050,No OS,1.8kg,34351.17
53,Apple,Workstation,15.6,OLED 2880x1800,Intel Core i7 1360P 3.7GHz,16GB,2TB SSD,Intel Iris Xe,Linux,1.29kg,242389.54
54,Acer,Workstation,16.0,OLED 2880x1800,AMD Ryzen 5 7530U 2.0GHz,32GB,2TB SSD,NVIDIA RTX 4060,No OS,1.75kg,124391.28
55,MSI,Gaming,15.6,OLED 2880x1800,Apple M2,32GB,2TB SSD,Integrated AMD Radeon,No OS,1.54kg,58203.7
56,Acer,Gaming,17.3,3840x2160,Apple M2,16GB,256GB SSD,NVIDIA RTX 4070,No OS,1.73kg,165227.97
57,Asus,Gaming,15.6,1920x1200,AMD Ryzen 5 7530U 2.0GHz,8GB,512GB SSD,NVIDIA RTX 4070,No OS,2.29kg,135849.1
58,Acer,Netbook,14.0,2560x1600,Apple M3 Pro,64GB,2TB SSD,AMD Radeon 780M,Linux,2.48kg,126482.78
59,Microsoft,Ultrabook,16.0,2880x1800,Intel Core i5 1240P 3.3GHz,64GB,1TB SSD,NVIDIA RTX 4050,macOS,1.17kg,207965.37
60,Microsoft,Gaming,17.3,Retina 2560x1600,AMD Ryzen 7 7840HS 3.8GHz,16GB,2TB SSD,AMD Radeon 780M,Windows 11,1.13kg,189779.06
61,Lenovo,Ultrabook,16.0,IPS Panel 1920x1080,AMD Ryzen 7 7840HS 3.8GHz,64GB,512GB SSD,Integrated AMD Radeon,macOS,1.3kg,64337.88
62,MSI,Gaming,16.0,1920x1080,Intel Core i7 1360P 3.7GHz,32GB,2TB SSD,NVIDIA RTX 4060,macOS,1.99kg,215756.03
63,Samsung,Gaming,17.3,2880x1800,Intel Core i7 1360P 3.7GHz,64GB,2TB SSD,Integrated AMD Radeon,No OS,1.38kg,34857.27
64,Asus,Notebook,17.3,2880x1800,Intel Core i9 13900H 5.4GHz,8GB,512GB SSD,Integrated AMD Radeon,No OS,2.34kg,99611.43
65,Acer,Netbook,17.3,3840x2160,Intel Core i5 1240P 3.3GHz,16GB,512GB SSD,Integrated AMD Radeon,Windows 11,2.16kg,211342.23
66,Lenovo,Ultrabook,13.3,Retina 2560x1600,AMD Ryzen 5 7530U 2.0GHz,16GB,2TB SSD,NVIDIA RTX 4070,Windows 11,2.09kg,121555.13
67,Lenovo,2 in 1 Convertible,14.0,3840x2160,Intel Core i9 13900H 5.4GHz,64GB,256GB SSD,AMD Radeon 780M,Windows 11,2.35kg,62914.0
68,Samsung,Workstation,14.0,Retina 2560x1600,Intel Core i5 1240P 3.3GHz,64GB,512GB SSD,AMD Radeon 780M,Windows 11,2.38kg,237487.41
69,Dell,Gaming,13.3,OLED 2880x1800,Intel Core i5 1240P 3.3GHz,64GB,1TB SSD,NVIDIA RTX 4060,macOS,1.7kg,30345.82
70,HP,Netbook,14.0,2880x1800,Intel Core i9 13900H 5.4GHz,64GB,256GB SSD,NVIDIA RTX 4050,Linux,2.12kg,244973.26
71,Apple,Ultrabook,17.3,3840x2160,Apple M3 Pro,8GB,2TB SSD,Integrated AMD Radeon,No OS,1.81kg,219256.69
72,Asus,Gaming,13.3,OLED 2880x1800,Intel Core i5 1240P 3.3GHz,32GB,2TB SSD,Integrated AMD Radeon,Windows 11,1.92kg,128491.57
73,HP,Ultrabook,13.3,3840x2160,Intel Core i5 1240P 3.3GHz,64GB,512GB SSD,NVIDIA RTX 4070,Windows 11,2.34kg,122261.37
74,Apple,Gaming,14.0,1920x1200,AMD Ryzen 5 7530U 2.0GHz,16GB,1TB SSD,AMD Radeon 780M,macOS,1.21kg,100772.15
75,HP,Notebook,17.3,1920x1080,Intel Core i5 1240P 3.3GHz,64GB,2TB SSD,NVIDIA RTX 4070,macOS,1.31kg,47769.01
76,Asus,Ultrabook,15.6,1920x1080,AMD Ryzen 7 7840HS 3.8GHz,8GB,512GB SSD,NVIDIA RTX 4070,Linux,1.16kg,166840.88
77,Razer,Notebook,13.3,2880x1800,Intel Core i9 13900H 5.4GHz,64GB,256GB SSD,Apple M3 GPU,Windows 11,2.12kg,105054.13
78,Apple,Workstation,14.0,1920x1080,Intel Core i7 1360P 3.7GHz,16GB,512GB SSD,AMD Radeon 780M,Windows 11,1.4kg,171418.45
79,Lenovo,Gaming,15.6,1920x1080,AMD Ryzen 5 7530U 2.0GHz,64GB,2TB SSD,NVIDIA RTX 4060,Windows 10,2.03kg,199209.37
80,Samsung,Notebook,17.3,1920x1080,Intel Core i5 1240P 3.3GHz,8GB,1TB SSD,Intel Iris Xe,Windows 11,1.19kg,144149.78
81,MSI,2 in 1 Convertible,14.0,OLED 2880x1800,Intel Core i5 1240P 3.3GHz,8GB,1TB SSD,NVIDIA RTX 4050,Windows 10,2.31kg,54068.33
82,Acer,Ultrabook,14.0,2880x1800,Apple M2,32GB,2TB SSD,Integrated AMD Radeon,No OS,1.61kg,230985.55
83,HP,Gaming,17.3,1920x1200,Intel Core i7 1360P 3.7GHz,16GB,512GB SSD,Intel Iris Xe,Linux,1.48kg,92190.7
84,Microsoft,2 in 1 Convertible,16.0,3840x2160,Intel Core i9 13900H 5.4GHz,16GB,256GB SSD,NVIDIA RTX 4050,Linux,1.58kg,83921.62
85,Apple,Gaming,16.0,2560x1600,Intel Core i5 1240P 3.3GHz,32GB,512GB SSD,NVIDIA RTX 4060,Windows 11,1.9kg,171239.52
86,Dell,Notebook,17.3,2880x1800,Apple M2,32GB,2TB SSD,Integrated AMD Radeon,macOS,1.47kg,208145.79
87,Lenovo,2 in 1 Convertible,17.3,Retina 2560x1600,Intel Core i5 1240P 3.3GHz,16GB,2TB SSD,Apple M3 GPU,macOS,1.88kg,111193.86
88,MSI,Ultrabook,15.6,OLED 2880x1800,AMD Ryzen 5 7530U 2.0GHz,8GB,512GB SSD,Integrated AMD Radeon,No OS,2.08kg,222416.0
89,Samsung,Netbook,13.3,IPS Panel 1920x1080,Intel Core i7 1360P 3.7GHz,32GB,256GB SSD,AMD Radeon 780M,Windows 11,1.21kg,190077.46
90,Dell,Ultrabook,15.6,3840x2160,AMD Ryzen 5 7530U 2.0GHz,64GB,2TB SSD,NVIDIA RTX 4050,No OS,1.84kg,168008.89
91,Microsoft,Gaming,14.0,2560x1600,Intel Core i7 1360P 3.7GHz,64GB,512GB SSD,NVIDIA RTX 4050,No OS,1.91kg,100676.27
92,Lenovo,Ultrabook,13.3,OLED 2880x1800,AMD Ryzen 5 7530U 2.0GHz,32GB,256GB SSD,NVIDIA RTX 4060,Windows 11,1.13kg,40206.71
93,Razer,Workstation,17.3,2880x1800,Intel Core i5 1240P 3.3GHz,8GB,256GB SSD,AMD Radeon 780M,Windows 11,1.11kg,67333.48
94,HP,Gaming,14.0,1920x1200,Apple M3 Pro,64GB,256GB SSD,Apple M3 GPU,Windows 11,1.3kg,153659.55
95,Asus,Gaming,17.3,IPS Panel 1920x1080,Intel Core i7 1360P 3.7GHz,8GB,2TB SSD,NVIDIA RTX 4070,Windows 10,1.27kg,188386.87
96,Acer,Notebook,17.3,2880x1800,Intel Core i9 13900H 5.4GHz,32GB,2TB SSD,Apple M3 GPU,Windows 10,2.31kg,97918.59
97,HP,Workstation,16.0,1920x1200,Intel Core i5 1240P 3.3GHz,16GB,1TB SSD,NVIDIA RTX 4070,Windows 10,1.15kg,152057.3
98,Razer,Netbook,13.3,IPS Panel 1920x1080,Intel Core i7 1360P 3.7GHz,16GB,512GB SSD,AMD Radeon 780M,macOS,2.22kg,217302.19
99,Lenovo,Gaming,13.3,1920x1080,Intel Core i9 13900H 5.4GHz,8GB,256GB SSD,AMD Radeon 780M,Windows 10,1.46kg,87839.72
100,Dell,Notebook,13.3,1920x1200,Apple M3 Pro,64GB,512GB SSD,AMD Radeon 780M,Windows 10,1.47kg,136995.24
101,Acer,Netbook,13.3,1920x1080,AMD Ryzen 5 7530U 2.0GHz,32GB,2TB SSD,Integrated AMD Radeon,Windows 10,1.73kg,91072.98
102,Lenovo,Netbook,16.0,3840x2160,Apple M3 Pro,64GB,1TB SSD,Apple M3 GPU,Linux,2.4kg,121794.71
103,Samsung,Gaming,13.3,2880x1800,Intel Core i9 13900H 5.4GHz,64GB,256GB SSD,AMD Radeon 780M,Windows 11,1.44kg,81440.03
104,Asus,2 in 1 Convertible,15.6,Retina 2560x1600,Intel Core i5 1240P 3.3GHz,32GB,1TB SSD,AMD Radeon 780M,macOS,1.98kg,197120.57
105,Acer,2 in 1 Convertible,13.3,IPS Panel 1920x1080,Intel Core i7 1360P 3.7GHz,32GB,1TB SSD,Integrated AMD Radeon,Windows 10,1.8kg,247939.87
106,Razer,Notebook,16.0,IPS Panel 1920x1080,Apple M3 Pro,8GB,512GB SSD,AMD Radeon 780M,Linux,1.9kg,139445.35
107,HP,Workstation,13.3,3840x2160,Intel Core i9 13900H 5.4GHz,8GB,256GB SSD,Apple M3 GPU,No OS,1.01kg,92523.07
108,Lenovo,Gaming,17.3,IPS Panel 1920x1080,Apple M3 Pro,32GB,1TB SSD,Integrated AMD Radeon,macOS,1.5kg,206820.44
109,Dell,Ultrabook,13.3,Retina 2560x1600,Intel Core i5 1240P 3.3GHz,64GB,1TB SSD,Apple M3 GPU,Linux,1.83kg,52597.64
110,Apple,2 in 1 Convertible,17.3,1920x1080,AMD Ryzen 7 7840HS 3.8GHz,64GB,1TB SSD,Intel Iris Xe,Windows 10,1.53kg,30505.13
111,Samsung,Ultrabook,17.3,1920x1080,AMD Ryzen 5 7530U 2.0GHz,8GB,256GB SSD,NVIDIA RTX 4070,Windows 11,1.11kg,240120.62
112,Razer,Netbook,13.3,2880x1800,Intel Core i7 1360P 3.7GHz,32GB,512GB SSD,NVIDIA RTX 4060,macOS,1.27kg,125882.18
113,Samsung,Workstation,13.3,2560x1600,Intel Core i9 13900H 5.4GHz,32GB,1TB SSD,AMD Radeon 780M,No OS,1.37kg,180642.56
114,Asus,Gaming,15.6,OLED 2880x1800,Apple M2,64GB,512GB SSD,AMD Radeon 780M,Linux,1.73kg,131364.9
115,Acer,Gaming,17.3,1920x1200,AMD Ryzen 7 7840HS 3.8GHz,16GB,2TB SSD,NVIDIA RTX 4070,Windows 10,2.37kg,197278.83
116,Asus,Notebook,14.0,3840x2160,Intel Core i7 1360P 3.7GHz,32GB,512GB SSD,Intel Iris Xe,No OS,1.56kg,219472.43
117,MSI,2 in 1 Convertible,17.3,Retina 2560x1600,AMD Ryzen 7 7840HS 3.8GHz,32GB,256GB SSD,NVIDIA RTX 4050,macOS,2.11kg,182456.62
118,Acer,Notebook,14.0,IPS Panel 1920x1080,AMD Ryzen 5 7530U 2.0GHz,16GB,1TB SSD,NVIDIA RTX 4050,Linux,1.35kg,161854.16
119,Dell,Ultrabook,15.6,3840x2160,Intel Core i7 1360P 3.7GHz,64GB,2TB SSD,NVIDIA RTX 4060,Windows 10,1.59kg,88428.3
120,Razer,2 in 1 Convertible,16.0,1920x1080,Intel Core i9 13900H 5.4GHz,32GB,256GB SSD,NVIDIA RTX 4050,No OS,1.17kg,153909.07
121,Microsoft,Ultrabook,16.0,OLED 2880x1800,Intel Core i7 1360P 3.7GHz,32GB,512GB SSD,NVIDIA RTX 4050,Windows 10,2.32kg,84519.85
122,MSI,Gaming,14.0,Retina 2560x1600,Intel Core i7 1360P 3.7GHz,64GB,2TB SSD,NVIDIA RTX 4050,No OS,2.21kg,101185.7
123,Microsoft,Gaming,17.3,1920x1080,Apple M2,32GB,512GB SSD,AMD Radeon 780M,Windows 10,1.23kg,199734.84
124,Acer,Workstation,14.0,3840x2160,AMD Ryzen 7 7840HS 3.8GHz,16GB,2TB SSD,Apple M3 GPU,Windows 10,1.27kg,149414.18
125,Microsoft,Gaming,17.3,1920x1080,Intel Core i9 13900H 5.4GHz,16GB,256GB SSD,NVIDIA RTX 4060,Windows 11,1.36kg,201962.67
126,Microsoft,2 in 1 Convertible,13.3,Retina 2560x1600,Apple M2,16GB,1TB SSD,Integrated AMD Radeon,Windows 11,2.14kg,223493.31
127,Samsung,Gaming,16.0,Retina 2560x1600,AMD Ryzen 7 7840HS 3.8GHz,32GB,256GB SSD,Apple M3 GPU,Linux,1.23kg,219367.53
128,Acer,Gaming,13.3,1920x1080,Apple M3 Pro,32GB,256GB SSD,NVIDIA RTX 4070,Windows 10,1.81kg,113856.48
129,Razer,Notebook,15.6,1920x1080,Intel Core i9 13900H 5.4GHz,32GB,512GB SSD,NVIDIA RTX 4060,No OS,1.71kg,230012.64
130,Asus,Netbook,17.3,1920x1200,Apple M3 Pro,16GB,1TB SSD,Apple M3 GPU,Windows 11,1.53kg,139256.65
131,Apple,2 in 1 Convertible,13.3,2560x1600,Intel Core i5 1240P 3.3GHz,32GB,256GB SSD,NVIDIA RTX 4060,Windows 10,1.53kg,89945.76
132,Apple,Notebook,15.6,3840x2160,AMD Ryzen 5 7530U 2.0GHz,8GB,2TB SSD,NVIDIA RTX 4060,Windows 11,1.8kg,186371.89
133,Acer,Notebook,13.3,1920x1200,AMD Ryzen 7 7840HS 3.8GHz,64GB,512GB SSD,Integrated AMD Radeon,Linux,1.67kg,134027.36
134,Razer,Notebook,15.6,1920x1080,Intel Core i5 1240P 3.3GHz,64GB,1TB SSD,NVIDIA RTX 4050,No OS,1.46kg,63262.37
135,Samsung,Netbook,16.0,2880x1800,Apple M2,64GB,512GB SSD,Intel Iris Xe,Windows 10,1.14kg,169077.94
136,Apple,Workstation,16.0,Retina 2560x1600,Apple M2,32GB,2TB SSD,NVIDIA RTX 4070,No OS,2.45kg,56311.41
137,Razer,Gaming,13.3,3840x2160,Apple M3 Pro,64GB,1TB SSD,NVIDIA RTX 4070,Linux,1.97kg,124313.86
138,Apple,Ultrabook,16.0,3840x2160,Apple M3 Pro,16GB,1TB SSD,AMD Radeon 780M,No OS,1.47kg,64927.09
139,Apple,Notebook,16.0,IPS Panel 1920x1080,Intel Core i9 13900H 5.4GHz,64GB,256GB SSD,NVIDIA RTX 4050,Windows 10,1.86kg,165464.06
140,Microsoft,Workstation,14.0,Retina 2560x1600,Apple M3 Pro,64GB,512GB SSD,Intel Iris Xe,Windows 10,2.43kg,119504.73
141,Apple,Notebook,15.6,Retina 2560x1600,Apple M2,32GB,1TB SSD,Apple M3 GPU,macOS,1.05kg,82661.19
142,Microsoft,Gaming,16.0,OLED 2880x1800,Intel Core i7 1360P 3.7GHz,8GB,1TB SSD,Apple M3 GPU,No OS,2.31kg,169107.41
143,Lenovo,Netbook,13.3,IPS Panel 1920x1080,Apple M3 Pro,16GB,512GB SSD,NVIDIA RTX 4050,Windows 11,2.29kg,54009.74
144,Razer,Workstation,17.3,OLED 2880x1800,Apple M3 Pro,16GB,512GB SSD,Intel Iris Xe,No OS,2.4kg,42573.03
145,Samsung,Gaming,16.0,IPS Panel 1920x1080,Intel Core i9 13900H 5.4GHz,64GB,512GB SSD,AMD Radeon 780M,Windows 11,1.01kg,207831.02
146,Dell,2 in 1 Convertible,17.3,3840x2160,AMD Ryzen 5 7530U 2.0GHz,64GB,1TB SSD,NVIDIA RTX 4070,macOS,1.06kg,41811.73
147,MSI,Ultrabook,16.0,IPS Panel 1920x1080,Intel Core i7 1360P 3.7GHz,64GB,1TB SSD,NVIDIA RTX 4050,Windows 10,1.95kg,242568.71
148,Acer,Ultrabook,16.0,2560x1600,Apple M3 Pro,16GB,1TB SSD,Intel Iris Xe,Windows 11,2.45kg,104377.89
149,Razer,Gaming,17.3,OLED 2880x1800,Apple M2,32GB,512GB SSD,Intel Iris Xe,macOS,2.43kg,83522.89
150,Acer,Ultrabook,15.6,2560x1600,AMD Ryzen 7 7840HS 3.8GHz,16GB,256GB SSD,AMD Radeon 780M,macOS,1.69kg,179263.84
151,Samsung,Notebook,14.0,IPS Panel 1920x1080,Apple M2,8GB,2TB SSD,Integrated AMD Radeon,Windows 10,1.51kg,233206.33
152,Apple,Notebook,14.0,OLED 2880x1800,Intel Core i5 1240P 3.3GHz,8GB,512GB SSD,NVIDIA RTX 4070,Windows 11,2.42kg,65626.58
153,HP,Workstation,15.6,IPS Panel 1920x1080,AMD Ryzen 7 7840HS 3.8GHz,64GB,2TB SSD,NVIDIA RTX 4050,Linux,1.73kg,171309.36
154,Microsoft,2 in 1 Convertible,14.0,OLED 2880x1800,Intel Core i5 1240P 3.3GHz,64GB,512GB SSD,NVIDIA RTX 4050,Windows 10,2.2kg,58369.52
155,MSI,2 in 1 Convertible,16.0,IPS Panel 1920x1080,Intel Core i7 1360P 3.7GHz,64GB,256GB SSD,Intel Iris Xe,macOS,1.74kg,118931.22
156,Dell,2 in 1 Convertible,17.3,2560x1600,Intel Core i9 13900H 5.4GHz,32GB,2TB SSD,NVIDIA RTX 4050,Linux,1.3kg,226673.57
157,Microsoft,Ultrabook,16.0,1920x1080,AMD Ryzen 5 7530U 2.0GHz,32GB,1TB SSD,NVIDIA RTX 4060,macOS,1.76kg,168978.55
158,Razer,2 in 1 Convertible,14.0,Retina 2560x1600,AMD Ryzen 7 7840HS 3.8GHz,16GB,1TB SSD,AMD Radeon 780M,Windows 10,1.9kg,138178.61
159,Dell,Netbook,14.0,2880x1800,Apple M2,32GB,1TB SSD,Integrated AMD Radeon,macOS,1.89kg,124083.58
160,Asus,Workstation,13.3,OLED 2880x1800,Apple M2,64GB,1TB SSD,AMD Radeon 780M,macOS,1.14kg,37466.9
161,Acer,Workstation,13.3,2880x1800,Intel Core i9 13900H 5.4GHz,16GB,2TB SSD,Intel Iris Xe,Windows 11,1.81kg,52911.87
162,Apple,Netbook,15.6,3840x2160,Intel Core i7 1360P 3.7GHz,32GB,512GB SSD,NVIDIA RTX 4060,Windows 10,1.51kg,242354.36
163,Razer,2 in 1 Convertible,15.6,Retina 2560x1600,Intel Core i5 1240P 3.3GHz,16GB,256GB SSD,Apple M3 GPU,No OS,1.35kg,232164.42
164,Microsoft,Gaming,16.0,1920x1080,AMD Ryzen 5 7530U 2.0GHz,8GB,512GB SSD,NVIDIA RTX 4070,No OS,2.25kg,94639.95
165,MSI,Ultrabook,13.3,IPS Panel 1920x1080,AMD Ryzen 5 7530U 2.0GHz,64GB,1TB SSD,AMD Radeon 780M,Windows 10,2.11kg,141436.19
166,MSI,Netbook,14.0,2880x1800,AMD Ryzen 5 7530U 2.0GHz,64GB,256GB SSD,Integrated AMD Radeon,No OS,1.16kg,95789.46
167,Lenovo,Gaming,15.6,1920x1200,Intel Core i7 1360P 3.7GHz,64GB,512GB SSD,Integrated AMD Radeon,No OS,1.4kg,185106.07
168,Acer,Gaming,15.6,2880x1800,AMD Ryzen 5 7530U 2.0GHz,16GB,512GB SSD,AMD Radeon 780M,Linux,1.89kg,201229.84
169,Lenovo,Netbook,14.0,1920x1200,Intel Core i9 13900H 5.4GHz,8GB,1TB SSD,Intel Iris Xe,No OS,1.33kg,228287.03
170,Lenovo,2 in 1 Convertible,16.0,1920x1080,Intel Core i9 13900H 5.4GHz,64GB,1TB SSD,Integrated AMD Radeon,Windows 11,2.12kg,218924.96
171,Dell,Gaming,17.3,IPS Panel 1920x1080,Apple M3 Pro,16GB,256GB SSD,NVIDIA RTX 4070,macOS,1.72kg,229982.03
